"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1057600140981215232","x1335291892590841862",2020-12-05 18:36:10,"ImBeautifulSol","Eating and watching Netflix for the rest of the day. #marauders #Netflix https://t.co/Jnltvn2lJX","Twitter for iPhone",72,,,,FALSE,FALSE,3,0,,,"marauders Netflix",,,,,"http://pbs.twimg.com/tweet_video_thumb/Eofo5azXcAArMNw.jpg","https://t.co/Jnltvn2lJX","https://twitter.com/ImBeautifulSol/status/1335291892590841862/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Eofo5azXcAArMNw.jpg","https://t.co/Jnltvn2lJX","https://twitter.com/ImBeautifulSol/status/1335291892590841862/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ImBeautifulSol/status/1335291892590841862","Proud Black Woman","Georgia, USA","An Opinionated Queen: Podcaster, Vlogger, Commentator, and Foodie. Find me on Youtube or wherever you get podcasts! <U+0001F48B>https://t.co/zXQAVk28h9","https://t.co/4nNZmDcUGC",FALSE,252,121,0,2848,4147,2018-10-31 11:48:17,FALSE,"https://t.co/4nNZmDcUGC","https://www.youtube.com/beautifulsoulspeaks2",,"https://pbs.twimg.com/profile_banners/1057600140981215232/1600988453","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1315713728831201281/YCytHMhc_normal.jpg"
"x17032174","x1335013875402629120",2020-12-05 00:11:25,"MyNameIsJamma","Who knew that a movie with Chris Meloni, Bruce Willis, Dave Bautista and  Adrian Grenier could be that damn terrible. #Marauders #Netflix 
I mean TURRIBO.","Twitter for Android",154,,,,FALSE,FALSE,1,0,,,"Marauders Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MyNameIsJamma/status/1335013875402629120","Roland Martin's Hairline","313 ","B.A.,B.A., J.D. 
comic books, food, music and cigar aficionado. 
Protect your credit.
#BlackLivesMatter 
#BlackGirlMagic",,FALSE,688,1049,12,76472,16016,2008-10-29 00:23:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/17032174/1598672441","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1294297918535544834/sS3momEJ_normal.jpg"
"x558958346","x1334951111321673731",2020-12-04 20:02:01,"STAC_MORRIS","Ok Twitter I found mr Elliot stabler in this #Netflix #marauders a must watch!!!!!!","Twitter for iPhone",83,,,,FALSE,FALSE,0,0,,,"Netflix marauders",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/STAC_MORRIS/status/1334951111321673731","BoSS_ladii","Boston, MA","AN UNEXAMINED LIFE IS NOT WORTH LIVING. – SOCRATES","https://t.co/dtPpU2TMEN",FALSE,1067,938,0,11908,10820,2012-04-20 21:34:02,FALSE,"https://t.co/dtPpU2TMEN","https://www.instagram.com/ms_morris24_7/",,"https://pbs.twimg.com/profile_banners/558958346/1596480177","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1316110414409863168/FB1psYps_normal.jpg"
"x1298244335096467460","x1334652368751882244",2020-12-04 00:14:56,"Da1kingblanco3","I’m watching #marauders on #Netflix 
I love when movies start with a bang. It’s fire","Twitter for iPhone",84,,,,FALSE,FALSE,1,0,,,"marauders Netflix",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Da1kingblanco3/status/1334652368751882244","<U+0001F451> Blanco El Soltero","Indianapolis, IN","Mid 40’s, chub, <U+0001F3F3><U+FE0F><U+200D><U+0001F308>, Pacers<U+0001F3C0>, Chicago Bears & Steelers <U+0001F3C8>,Aries, lover of adult entertainment, professional.",,FALSE,139,310,0,5581,6535,2020-08-25 13:02:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/1298244335096467460/1606483618",,"http://pbs.twimg.com/profile_images/1332314972370706432/NuIlF_2h_normal.jpg"
"x3232560496","x1334635938148913154",2020-12-03 23:09:38,"auttyaxelrod","This new Netflix movie with Detective Stabler kinda hit so far #Netflix #Marauders","Twitter for iPhone",82,,,,FALSE,FALSE,4,0,,,"Netflix Marauders",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/auttyaxelrod/status/1334635938148913154","a x e l r o d .","","Focus on yourself. NJ<U+27A1><U+FE0F>DMV",,FALSE,846,582,4,50480,18322,2015-05-04 03:28:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/3232560496/1598676218","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311694016157810689/vum5FTzO_normal.jpg"
"x1544192437","x1333977597328277508",2020-12-02 03:33:37,"SuneeSky1","Next up... #Marauders on #Netflix,  then something on #HBO","Twitter for Android",58,,,,FALSE,FALSE,0,0,,,"Marauders Netflix HBO",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SuneeSky1/status/1333977597328277508","SuneeSky","Long Beach, CA","2021 Philosophy: Do on to others.",,FALSE,6,3,62,705,3470,2013-06-24 21:39:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1544192437/1598491327","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1331977316503670790/XlFXHI7D_normal.jpg"
"x1278438344846909442","x1333863539388375041",2020-12-01 20:00:24,"AvenueStreaming","<U+0001F534> #Netflix | The action packed movie 'Marauders' featuring Bruce Willis &amp; Dave Bautista is out now. 

#DaveBautista | #BruceWillis | #MCU | @BruceWillisClub | #Marauders https://t.co/DXIXZ3SCwN","Twitter for Android",173,,,,FALSE,FALSE,3,1,,,"Netflix DaveBautista BruceWillis MCU Marauders",,,,,"http://pbs.twimg.com/media/EoLV0dwXYAot5lV.jpg","https://t.co/DXIXZ3SCwN","https://twitter.com/AvenueStreaming/status/1333863539388375041/photo/1","photo","http://pbs.twimg.com/media/EoLV0dwXYAot5lV.jpg","https://t.co/DXIXZ3SCwN","https://twitter.com/AvenueStreaming/status/1333863539388375041/photo/1",,"x173986552","BruceWillisClub","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AvenueStreaming/status/1333863539388375041","StreamingAvenue","California","<U+0001F4F0> All in one place ! 
<U+0001F4BB> Netflix | Disney+ | Hulu | Amazon Prime | Apple TV | HBO Max | Peacock | BritBox
<U+0001F4F2> Find us on instagram",,FALSE,13,36,0,125,2,2020-07-01 21:20:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/1278438344846909442/1593638678",,"http://pbs.twimg.com/profile_images/1278438458042781698/Kvzvuj1q_normal.jpg"
